url|Location|Surface
https://www.tennisexplorer.com/cassis-challenger|Cassis challenger|hard
https://www.tennisexplorer.com/kyiv-challenger|Kyiv challenger|clay
https://www.tennisexplorer.com/sevilla-challenger|Sevilla challenger|clay
https://www.tennisexplorer.com/tulln-challenger|Tulln challenger|clay
https://www.tennisexplorer.com/cary-2-challenger|Cary 2 challenger|hard
https://www.tennisexplorer.com/istanbul-2-challenger|Istanbul 2 challenger|hard
https://www.tennisexplorer.com/quito-challenger|Quito challenger|clay
https://www.tennisexplorer.com/ambato-challenger|Ambato challenger|clay
https://www.tennisexplorer.com/braga-challenger|Braga challenger|clay
https://www.tennisexplorer.com/bucharest-challenger|Bucharest challenger|clay
https://www.tennisexplorer.com/columbus-3-challenger|Columbus 3 challenger|indoors
https://www.tennisexplorer.com/metz|Metz|indoors
https://www.tennisexplorer.com/laver-cup|Laver Cup|indoors
https://www.tennisexplorer.com/san-diego|San Diego|hard
https://www.tennisexplorer.com/murcia-challenger|Murcia challenger|clay
https://www.tennisexplorer.com/orleans-challenger|Orleans challenger|indoors
https://www.tennisexplorer.com/mouilleron-le-captif-challenger|Mouilleron-Le-Captif challenger|indoors
https://www.tennisexplorer.com/napoli-2-challenger|Napoli 2 challenger|clay
https://www.tennisexplorer.com/santiago-3-challenger|Santiago 3 challenger|clay
https://www.tennisexplorer.com/napoli-3-challenger|Napoli 3 challenger|clay
https://www.tennisexplorer.com/santiago-2-challenger|Santiago 2 challenger|clay
https://www.tennisexplorer.com/moscow|Moscow|indoors
https://www.tennisexplorer.com/bogota-3-challenger|Bogotá 3 challenger|clay
https://www.tennisexplorer.com/buenos-aires-challenger|Buenos Aires challenger|clay
https://www.tennisexplorer.com/losinj-challenger|Losinj challenger|clay
https://www.tennisexplorer.com/brest-challenger|Brest challenger|indoors
https://www.tennisexplorer.com/lima-2-challenger|Lima 2 challenger|clay
https://www.tennisexplorer.com/charlottesville-challenger|Charlottesville challenger|indoors
https://www.tennisexplorer.com/tenerife-challenger|Tenerife challenger|hard
https://www.tennisexplorer.com/stockholm|Stockholm|indoors
https://www.tennisexplorer.com/knoxville-challenger|Knoxville challenger|indoors
https://www.tennisexplorer.com/montevideo-challenger|Montevideo challenger|clay
https://www.tennisexplorer.com/roanne-challenger|Roanne challenger|indoors
https://www.tennisexplorer.com/next-gen-atp-finals|Next Gen ATP Finals|indoors
https://www.tennisexplorer.com/champaign-challenger|Champaign challenger|indoors
https://www.tennisexplorer.com/helsinki-challenger|Helsinki challenger|indoors
