Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Davis Cup|1.25|3.3|Shvets V.|Belarus|1999|||right||Kana F.|CzechRepublic|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Yeshaya O.|Israel|2014|||right|25.0|Seely S.|RSA|2019|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|De Vincentis M.|Italy|2014|87.0|188.0|left|26.0|Jans J.|Netherlands|2019|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Yunis F.|Switzerland|2017|||right|22.0|Sada I.|Italy|2018|||right|26.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Zubac D.|Serbia|2018|||right|21.0|Kovac T.|Slovenia|2021|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Levyatov L.|Israel|2018|||right|21.0|Drumond Ribeiro J.|Brazil|2022|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Vojinovic L.|Serbia|2015|||right|25.0|Brkic J.|Croatia|2013|||right|25.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Kelo P.|Slovakia|2020|||right||Belosevic P.|Serbia|2022|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Sharma A.|India|2018|||right|23.0|Chauhan C.|India|2015|||right|25.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Bulnes Garrorena F.|Spain|2022|||right||Mazon-Hernandez R.|Spain|2007|||right|33.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Gheorghita T.|Romania|2015|||right|25.0|Pavicic M.|Australia|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Imamura M.|Japan|2015|||right|25.0|Misrahi J.|France|2020|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Barnat J.|CzechRepublic|2017|||right|23.0|Wakita S.|Japan|2014|||right|29.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Southcombe J.|GreatBritain|2021|||right||Mihailovic A.|Serbia|2021|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Jones R.|GreatBritain|2021|||right||Srbljak G.|NorthMacedonia|2015|||left|26.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Kysilov G.|Ukraine|2017|||right|25.0|Ierokhin D.|Ukraine|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Podvinski T.|Croatia|2013|||right|27.0|Znuderl M.|Slovenia|2021|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Ianin N.|Russia|2021|||right|22.0|Ernaelsteen V.|Belgium|2017|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Yunchaokete B.|China|2017|||right|22.0|Gobat A.|France|2016|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Beckley A.|RSA|2018|||right|23.0|Raman R.|India|2008|||right|31.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Kupcic J.|Slovenia|2019|||right|23.0|Zanotti A.|Italy|2019|||right|25.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Parizzia N.|Switzerland|2014|||right|25.0|Galik M.|Slovakia|2020|||right||Varioussurfaces|20220306
