Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Bondioli F.|ITA|Left-Handed|1.9|Oradini G.|ITA|Left-Handed|1.79|1.0||14.5|0.0|0.0|-7.0|0.10999999999999988
clay|Heide G.|BRA|Right-Handed|1.21|Aboian V.|ARG|Left-Handed|4.09|0.0|0.0|-14.5|0.0|0.0|0.0|-2.88
hard|De Filippo G.|ITA|Right-Handed|5.7|Martin Manzano J.|ITA|Left-Handed|1.1|1.0||14.5|0.0|0.0|4.0|4.6
hard|Stricker D.|CHE|Left-Handed|1.18|Corwin F.|ITA|Right-Handed|4.52|0.0|-4.0|228.5|-4.0|-5.0|-6.0|-3.34
hard|Ghazouani Durand Y.|FRA|Right-Handed|1.22|Poertner L.|DEU|Right-Handed|3.78|0.0|-2.0|-14.5|0.0|0.0|6.0|-2.5599999999999996
hard|Donders D.|NLD|Left-Handed|1.7|Poritskyy A.|UKR|Right-Handed|1.9|0.0|4.0|-14.5|0.0|0.0|5.0|-0.19999999999999996
hard|Raynel A.|FRA|Right-Handed|2.01|Orlov V.|UKR|Right-Handed|1.71|1.0||14.5|1.0|-2.0|-7.0|0.2999999999999998
hard|Fernandez Flores D.|CHL|Right-Handed|1.18|Plans J.|ESP|Right-Handed|4.15|0.0|0.0|-14.5|0.0|0.0|1.0|-2.9700000000000006
hard|Terblanche E.|ITA|Right-Handed|10.51|Kumaran B.|IND|Right-Handed|1.01|1.0||14.5|0.0|0.0|-5.0|9.5
hard|Kumasaka T.|JPN|Right-Handed|2.98|Simakin I.|RUS|Right-Handed|1.35|1.0||14.5|-6.0|-8.0|5.0|1.63
hard|Ilagan A.|ITA|Left-Handed|1.55|Nam J.|KOR|Right-Handed|2.32|1.0||14.5|-2.0|0.0|-8.0|-0.7699999999999998
hard|Karlsson Wistrand J.|SWE|Right-Handed|2.01|Simonsson F.|SWE|Right-Handed|1.71|1.0||339.5|3.0|-5.0|-7.0|0.2999999999999998
hard|Xiao L.|CHN|Right-Handed|3.68|Cui J.|CHN|Right-Handed|1.23|1.0||14.5|6.0|0.0|-2.0|2.45
hard|Rudan Z.|ITA|Right-Handed|10.94|Popovic S.|SRB|Right-Handed|1.01|1.0||14.5|0.0|0.0|-1.0|9.93
hard|Bellucci M.|ITA|Left-Handed|1.47|Hijikata R.|AUS|Right-Handed|2.62|0.0|-2.0|-195.0|10.0|5.0|0.0|-1.1500000000000001
hard|Pennaforti G.|ITA|Right-Handed|2.07|Agamenone F.|ITA|Right-Handed|1.67|0.0|-13.0|-36.0|-4.0|-5.0|-8.0|0.3999999999999999
hard|Michelsen A.|ITA|Right-Handed|1.47|Coric B.|HRV|Right-Handed|2.58|0.0|-10.0|-1859.0|-7.0|-5.0|-8.0|-1.11
hard|Michnev P.|CZE|Right-Handed|2.33|Forger A.|NLD|Right-Handed|1.51|0.0|17.0|-14.5|4.0|5.0|16.0|0.8200000000000001
hard|Ianin N.|RUS|Right-Handed|1.07|Senn N.|CHE|Right-Handed|6.0|0.0|2.0|-14.5|0.0|0.0|2.0|-4.93
hard|Stidell F.|SWE|Right-Handed|12.06|Geerts M.|BEL|Right-Handed|1.01|1.0||187.5|5.0|5.0|-6.0|11.05
hard|Monferrer E.|ARG|Right-Handed|3.09|Gimenez I.|BRA|Right-Handed|1.32|1.0||14.5|0.0|0.0|-3.0|1.7699999999999998
hard|Kudla D.|ITA|Right-Handed|1.51|Tomic B.|AUS|Right-Handed|2.45|1.0||171.0|-12.0|-16.0|1.0|-0.9400000000000002
hard|Nakagawa N.|JPN|Right-Handed|1.03|Lieberman H.|ITA|Right-Handed|12.29|0.0|7.0|-14.5|-3.0|-3.0|3.0|-11.26
hard|Kumaran B.|IND|Right-Handed|1.01|Terblanche E.|ITA|Right-Handed|10.51|0.0|3.0|-14.5|0.0|0.0|5.0|-9.5
hard|Sorger S.|AUT|Right-Handed|2.15|Ovcharenko O.|UKR|Right-Handed|1.62|1.0||14.5|0.0|0.0|-4.0|0.5299999999999998
hard|Gil Garcia A.|LUX|Right-Handed|2.81|Elamin A.|IRL|Right-Handed|1.36|0.0|-4.0|-14.5|0.0|0.0|-2.0|1.45
hard|Nedev D.|BGR|Right-Handed|2.08|Latinovic S.|SRB|Right-Handed|1.64|1.0||14.5|0.0|0.0|-1.0|0.44000000000000017
